Date,company name,open,high,low,closing,avg_price_1,std_price_2,avg_volume_30,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/4/2023,Caledonia Mining Corporation Plc,0.16865400681720308,0.084399256,0.3498602787271898,0.1409986853163496,0.026467815,0.4347330093509037,0,0.030758872,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Idaho Strategic Resources, Inc.",0.6454306951830057,0.7831340296520075,0.9245366340537716,0.7443083821589863,0.6880413331275336,-0.499439171,0,-0.127797903,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,"Contango Ore, Inc.",-0.117742058,-0.223931436,-0.010168765,-0.11826056,-0.121395186,-0.076377386,0,0.074096355,-1.490785757,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Newmont Corporation,1.506013016,1.509915603,1.530963706,1.614389976,1.672969087,2.531672388,0,0.1997043,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Agnico Eagle Mine,0.956996733,0.811728289,0.873792224,0.904018082,1.160433574,2.248407433,0,-0.018534719,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Barrick Gold Cor,1.013953924,0.993001045,0.954409662,1.090766807,1.163106782,4.288052081,0,0.027247319,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Wheaton Precious Metals Corp.,-1.186144931,-1.096261671,-1.091081544,-0.952782427,-0.956676716,1.862133358,0,-0.149128218,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Franco-Nevada Corporation,0.152299178,0.048558271,0.115243932,0.136615334,0.300249013,1.748761612,0,0.276607587,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Gold Fields Limited,-1.120771551,-1.036280893,-1.076433805,-0.967387134,-0.928137325,2.088996101,0,-0.19329093,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,AngloGold Ashant,0.008213646,0.072254127,0.070444253,0.15515642168535118,0.22830535332715915,2.4273748616652298,0,0.009313705,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Kinross Gold Corporation,-0.80827815,-0.905070876,-0.813413655,-0.815938271,-0.654327822,2.8817295495352226,0,-0.230375986,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
